,price_eur,mileage,transmission,energy_consumption__emission_class,energy_consumption__fuel,link,energy_consumption__co2_emissions,general_information__brand,general_information__model,general_information__warranty,vehicle_history__year,model_clean,energy_consumption__fuel_clean,model,brand_rank,emission_rank,fuel_rank,transmission_rank,model_rank,car_age,mileage_per_year,log_mileage,log_mileage_per_year,is_luxury,is_premium,is_modern,age_mileage_interaction,brand_model_interaction
2,24900,37944.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/ii-allure/id/4903222,105,peugeot,2008,12,2023.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,2.0,12648.0,10.543893021838013,9.445333439647541,0,0,0,25296.0,4.119842859131459
5,27499,67051.0,automatic,Euro 6d,hybrid - petrol,https://gocar.be/en/cars/peugeot/408/16-hybrid-gt/id/4903855,28,peugeot,408,12,2022.0,408,hybrid - petrol,408,4,8.0,9.0,8,1.0450900661991476,3.0,16762.75,11.113223716751168,9.72697409602515,0,0,1,50288.25,4.18036026479659
6,15690,118088.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-130pk-automaat-allure-navigatie-climate-control-cruise-control-pdc-va-camera-full-led-17-lm-velgen-stoelverwarming/id/4904001,139,peugeot,2008,0,2020.0,2008,petrol,2008,4,8.0,7.0,8,1.0299607147828647,5.0,19681.333333333332,11.679193856441936,9.887476727263763,0,0,1,98406.66666666666,4.119842859131459
7,20990,36559.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/pt-gt-line-automaat-camera-led-topdeal/id/4904387,134,peugeot,2008,0,2023.0,2008,petrol,2008,4,8.0,7.0,8,1.0299607147828647,2.0,12186.333333333334,10.506710025568086,9.40815243999892,0,0,1,24372.666666666668,4.119842859131459
9,25990,20200.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/allure-12-puretech-eat8/id/4902067,136,peugeot,408,0,2023.0,408,petrol,408,4,5.0,7.0,8,1.0450900661991476,2.0,6733.333333333333,9.913487387114461,8.814974098545433,0,0,0,13466.666666666666,4.18036026479659
15,16990,82261.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-boite-auto-camera-pdc-navi-clim-attache-rem/id/4902875,136,peugeot,2008,12,2022.0,2008,petrol,2008,4,8.0,7.0,8,1.0299607147828647,3.0,20565.25,11.31766455464227,9.93140666170086,0,0,1,61695.75,4.119842859131459
16,24900,21402.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/automaat-130pk-360-camera-dodehoekdet-zetelverw-parkeers-va/id/4902621,117,peugeot,408,0,2024.0,408,petrol,408,4,5.0,7.0,8,1.0450900661991476,1.0,10701.0,9.971286378100563,9.27818591887125,0,0,0,10701.0,4.18036026479659
17,24975,5.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/style-12-hybrid-e-dsc6/id/4902652,110,peugeot,2008,0,2025.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,0.0,5.0,1.791759469228055,1.791759469228055,0,0,0,0.0,4.119842859131459
18,24975,5.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/style-12-hybrid-e-dsc6-app-connectsensoren-acht/id/4902653,110,peugeot,2008,0,2025.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,0.0,5.0,1.791759469228055,1.791759469228055,0,0,0,0.0,4.119842859131459
26,23995,29852.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/ii-allure/id/4901203,137,peugeot,2008,12,2024.0,2008,petrol,2008,4,5.0,7.0,8,1.0299607147828647,1.0,14926.0,10.304040616283272,9.61092693263324,0,0,0,14926.0,4.119842859131459
