,price,mileage,energy_consumption__co2_emissions,general_information__warranty,vehicle_age,model_encoded,model_rank_per_year,transmission_automatic,transmission_manual,energy_consumption__emission_class_Euro 5,energy_consumption__emission_class_Euro 6,energy_consumption__emission_class_Euro 6b,energy_consumption__emission_class_Euro 6c,energy_consumption__emission_class_Euro 6d,energy_consumption__emission_class_Euro 6d-TEMP,energy_consumption__emission_class_Euro 6d-TEMP-EVAP,energy_consumption__emission_class_Euro 6e,energy_consumption__fuel_diesel,energy_consumption__fuel_electric,energy_consumption__fuel_hybrid,energy_consumption__fuel_hybrid - diesel,energy_consumption__fuel_hybrid - petrol,energy_consumption__fuel_petrol,energy_consumption__fuel_petrol super,general_information__brand_audi,general_information__brand_bmw,general_information__brand_ford,general_information__brand_kia,general_information__brand_mercedes,general_information__brand_peugeot,general_information__brand_volkswagen,general_information__brand_volvo
0,14490.0,-0.39886017759396175,-0.3648220239973581,0.0034603530597136587,0.61784496398022,-1.0440553699303114,-0.7629168817621552,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2,24900.0,-0.3518886265615101,-0.20508842637759658,0.0034603530597136587,-0.47839104269130883,-1.0336183464816793,-0.48649758324056097,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
3,13950.0,0.11183283432731049,-0.20508842637759658,0.0034603530597136587,0.2524329617563771,-1.0284899929718103,-0.7050122345272164,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
4,12500.0,1.5477346223274646,-0.24502182578253695,0.0034603530597136587,1.348668968427906,-1.019670234671984,-0.8277739595062809,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
5,27499.0,0.44115135946028194,-1.7425243034678013,0.0034603530597136587,-0.11297904046746587,-0.3623850786641521,-0.4418279184245304,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
6,15690.0,1.8316890915039208,0.4737793635063899,-1.0111500583649125,0.61784496398022,-1.0336183464816793,-0.7610309265599946,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
7,20990.0,-0.38962389232713973,0.3739458649940389,-1.0111500583649125,-0.47839104269130883,-1.0474175871258027,-0.4914845893169077,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
8,14990.0,0.20490407465611254,-0.24502182578253695,0.0034603530597136587,0.2524329617563771,-1.0284899929718103,-0.7050122345272164,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
9,25990.0,-0.8353359592296201,0.4138792643989793,-1.0111500583649125,-0.47839104269130883,-0.34121257700928953,-0.23626411976901557,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
11,18950.0,-1.3005014411188582,0.034511970052045704,0.0034603530597136587,-1.2092150471389949,-1.0474175871258027,0.5966747718081333,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
14,16900.0,-0.5562584666394798,0.19424556767180723,0.0034603530597136587,-0.11297904046746587,-1.0474175871258027,-0.6275045094575378,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
15,16990.0,0.855558140900879,0.4138792643989793,0.0034603530597136587,-0.11297904046746587,-1.0284899929718103,-0.6223742256891635,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
16,24900.0,-0.8025866527673192,0.034511970052045704,-1.0111500583649125,-0.8438030449151518,-0.3602152872873795,0.15308466762103426,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
17,24975.0,-1.3855624517472307,-0.10525492786524562,-1.0111500583649125,-1.2092150471389949,-1.0474175871258027,0.5966747718081333,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
18,24975.0,-1.3855624517472307,-0.10525492786524562,-1.0111500583649125,-1.2092150471389949,-1.0440553699303114,0.6003200588242096,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
19,10950.0,0.7182126717856884,-0.08528822816277544,0.0034603530597136587,0.9832569662040631,-1.0336183464816793,-0.800249975605628,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
20,11990.0,-0.17356565584956352,-0.10525492786524562,-1.0111500583649125,1.348668968427906,-1.0284899929718103,-0.8289692477842958,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21,11299.0,-1.1567804830584278,-0.10525492786524562,0.0034603530597136587,0.2524329617563771,-1.7232816668896818,-0.8556696680331294,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22,28850.0,-1.0874402293591299,-2.3015918951369665,-0.757497455508756,-0.8438030449151518,-1.0474175871258027,-0.21944474903564742,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
