,general_information__brand,general_information__model_clean,mileage,transmission,energy_consumption__emission_class,energy_consumption__fuel,link,energy_consumption__co2_emissions,general_information__warranty,vehicle_history__year,price,vehicle_age,make,mileage_per_year,model_encoded,model_rank_per_year
0,peugeot,2008,36220.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/alluremanueel/id/4904708,97.0,12.0,2020,14490.0,6,peugeot 2008,6036.666666666667,19065.126213592233,3177.5210355987056
1,peugeot,108,87640.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/108/10-e-vti-active-airco-bluetooth-led-dab-5-deurs/id/4904223,110.0,0.0,2021,8140.0,5,peugeot 108,17528.0,11154.0,2230.8
2,peugeot,2008,37944.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/ii-allure/id/4903222,105.0,12.0,2023,24900.0,3,peugeot 2008,12648.0,19197.003412969283,6399.001137656428
3,peugeot,2008,54964.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/puretech-ss-active-pack/id/4903195,105.0,12.0,2021,13950.0,5,peugeot 2008,10992.8,19261.802816901407,3852.3605633802813
4,peugeot,2008,107666.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/puretech-allure-12cc-110pk/id/4903206,103.0,12.0,2018,12500.0,8,peugeot 2008,13458.25,19373.245033112584,2421.655629139073
5,peugeot,408,67051.0,automatic,Euro 6d,hybrid - petrol,https://gocar.be/en/cars/peugeot/408/16-hybrid-gt/id/4903855,28.0,12.0,2022,27499.0,4,peugeot 408,16762.75,27678.383561643837,6919.595890410959
6,peugeot,2008,118088.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-130pk-automaat-allure-navigatie-climate-control-cruise-control-pdc-va-camera-full-led-17-lm-velgen-stoelverwarming/id/4904001,139.0,0.0,2020,15690.0,6,peugeot 2008,19681.333333333332,19197.003412969283,3199.500568828214
7,peugeot,2008,36559.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/pt-gt-line-automaat-camera-led-topdeal/id/4904387,134.0,0.0,2023,20990.0,3,peugeot 2008,12186.333333333334,19022.64285714286,6340.880952380953
8,peugeot,2008,58380.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12i-cameracapteursledfull-options1er-proprio/id/4904388,103.0,12.0,2021,14990.0,5,peugeot 2008,11676.0,19261.802816901407,3852.3605633802813
9,peugeot,408,20200.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/allure-12-puretech-eat8/id/4902067,136.0,0.0,2023,25990.0,3,peugeot 408,6733.333333333333,27945.909090909092,9315.30303030303
